#此文档用于生成虚拟的手机号
#主要用于特殊通道的，省份信息转换
#前三个字段为必须且位置不变，其它字段为备注

#city,province,phoneCode
204,6,1340539,临沂
230,10,1340780,柳州
1,3,1347084,六安
75,28,1350858,六盘水
163,21,1345970,龙岩
175,11,1344794,陇南
362,25,1340738,娄底
99,19,1340409,泸州
411,26,1340379,洛阳
250,26,1340395,漯河
405,24,1340358,吕梁
30,3,1347095,马鞍山
334,8,1341330,茂名
367,19,1340406,眉山
360,8,1341120,梅州
173,19,1340233,绵阳
338,16,1350453,牡丹江
301,31,1351896,那曲
327,31,1780896,那曲地区
227,23,1340700,南昌
247,19,1340408,南充
26,2,1340005,南京
51,10,1340770,南宁
306,21,1344067,南平
28,2,1340128,南通
282,26,1340377,南阳
409,19,1780832,内江
233,9,1342920,宁波
148,21,1345930,宁德
289,30,1350886,怒江
206,30,1786938,怒江傈僳族自治州
197,19,1340812,攀枝花
391,13,1347018,盘锦
287,26,1340375,平顶山
278,11,1351903,平凉
298,23,1340799,萍乡
176,21,1345905,莆田
303,26,1340393,濮阳
71,30,1846943,普洱
223,16,1350488,七台河
147,16,1344069,齐齐哈尔
156,28,1840855,黔东南
355,28,1780855,黔东南苗族侗族自治州
116,18,1842360,黔江
194,28,1840854,黔南
34,28,1780854,黔南布依族苗族自治州
276,28,1840859,黔西南
191,28,1780859,黔西南布依族苗族自治州
180,10,1344783,钦州
343,17,1346335,秦皇岛
132,6,1340532,青岛
341,8,1341345,清远
25,11,1351904,庆阳
363,9,1345400,衢州
64,30,1340870,曲靖
151,21,1340080,泉州
58,31,1344693,日喀则
216,6,1340633,日照
49,26,1340398,三门峡
368,21,1345980,三明
190,21,1340060,厦门
310,31,1361893,山南
8,31,1780893,山南地区
246,8,1341190,汕头
323,8,1341105,汕尾
188,20,1342974,商洛
258,26,1340370,商丘
215,7,1340200,上海
100,23,1340703,上饶
407,8,1341110,韶关
102,25,1340739,邵阳
141,9,1342945,绍兴
275,8,1341000,深圳
285,13,1344238,沈阳
375,4,1342995,十堰
266,15,1351992,石河子
264,17,1340011,石家庄
201,29,1340952,石嘴山
32,16,1350464,双鸭山
181,24,1340349,朔州
44,30,1346617,思茅
187,12,1340434,四平
332,12,1340445,松原
300,2,1340140,苏州
37,16,1350455,绥化
82,4,1340962,随州
109,19,1340815,遂宁
393,15,1344299,塔城
335,15,1788126,塔城地区
245,9,1345420,台州
95,24,1340340,太原
373,6,1340538,泰安
196,2,1340120,泰州
222,17,1340045,唐山
35,5,1350200,天津
153,11,1351908,天水
413,13,1344038,铁岭
106,12,1340450,通化
412,14,1340485,通辽
337,20,1346879,铜川
94,3,1348562,铜陵
182,28,1350856,铜仁
307,15,1356558,吐鲁番
271,18,1842320,万州
83,6,1340630,威海
410,6,1340226,潍坊
401,20,1340291,渭南
16,9,1345480,温州
31,30,1340490,文山
78,30,1786912,文山壮族苗族自治州
155,14,1351473,乌海
85,14,1780066,乌兰察布
130,14,1340482,乌兰浩特
229,15,1344899,乌鲁木齐
107,2,1340000,无锡
